Name,Brand,Category,Grade,Flavor Profile,Sake Meter Value,Acidity,Serving Temp,Region,Pairing
Junmai Ginjo,Yuki No Bosha,Junmai,Ginjo,Light and Dry,1.5,1.5,"Cold,Room Temp",Akita,"Fruit,Cheese,Sushi/Sashimi"
Yamahai Junmai,Yuki No Bosha,"Yamahai,Junmai",Nama,Rich and Dry,1.0,1.9,"Cold,Warm",Akita,"Meat,Cheese"
Kachou Gesseki,Yuki No Bosha,,Daiginjo,Light and Dry,3.0,1.2,Cold,Akita,"Cheese,Fruit"
Junmai Daiginjo,Yuki No Bosha,Junmai,Daiginjo,Light and Dry,1.0,1.5,"Cold,Room Temp",Akita,Sushi/Sashimi
Cowboy Yamahai,Cowboy,Yamahai,Nama,Rich and Dry,3.5,2.0,"Cold,Warm",Niigata,Meat
Chosetsu,Yuki No Bosha,,Daiginjo,Light and Sweet,-2.0,1.3,Cold,Akita,"Shellfish,Fruit"
Junmai,Urakasumi,Junmai,Nama,Light and Dry,2.0,1.5,"Cold,Room Temp,Warm",Miyagi,"Meat,Fish"
Junmai Ginjo,Hakkaisan,Junmai,Ginjo,Light and Dry,4.0,1.2,Cold,Niigata,"Sushi/Sashimi,Octopus/Squid,Fish"
Honjozo,Hakkaisan,,Honjozo,Light and Dry,4.0,1.0,"Cold,Room Temp,Warm",Niigata,"Meat,Fish"
Junmai Daiginjo,Hakkaisan,Junmai,Daiginjo,Light and Dry,4.0,1.2,Cold,Niigata,"Sushi/Sashimi,Octopus/Squid,Fish"
Tokubetsu Junmai,Suigei,Tokubetsu Junmai,Nama,Light and Dry,7.0,1.6,"Cold,Room Temp,Warm",Kochi,"Meat,Fish"
Nigori,Kurosawa,Nigori,Nama,Rich and Sweet,-50.0,,Cold,Nagano,"Fish,Shellfish,Octopus/Squid"
Road To Osaka,Daimon`,Nigori,Nama,Rich and Sweet,,,Cold,Osaka,"Sushi/Sashimi,Meat,Cheese"
Junmai,Tengumai,Junmai,Nama,Rich and Dry,4.0,1.9,"Room Temp,Warm",Ishikawa,"Meat,Fish"
Manju,Kubota,Junmai,Daiginjo,Light and Dry,2.0,1.2,Cold,Niigata,Sushi/Sashimi
Junmai Daiginjo,Kubota,Junmai,Daiginjo,Light and Sweet,0.0,1.3,Cold,Niigata,"Shellfish,Fish,Cheese"
Senju,Kubota,Junmai,Ginjo,Light and Dry,5.0,1.1,"Cold,Warm,Hot",Niigata,"Meat,Fish"
Hekiju,Kubota,Junmai,Daiginjo,Light and Dry,2.0,1.2,"Cold,Room Temp",Niigata,"Meat,Cheese"
Karatamba,Ozeki,,Honjozo,Light and Dry,7.0,1.5,"Cold,Hot",Hyogo,"Meat,Fish"
,,,,,,,,,
,,,,,,,,,
